Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,9.0,9.0,8.7,9.0,9.0,1425
2017-07-03,13.25,13.25,12.1,12.1001,12.1001,7008
2017-07-05,12.1001,12.1001,12.04,12.04,12.04,0
2017-07-06,20.0,20.0,15.4,15.8,15.8,20100
2017-07-07,15.0,15.0,10.1,11.097,11.097,38100
2017-07-10,10.15,12.7,10.099,11.24,11.24,15600
2017-07-11,12.0,12.0,10.986,11.98,11.98,13800
2017-07-12,12.8,12.8,11.2,12.28,12.28,7800
2017-07-13,12.34,12.5,11.4,11.4,11.4,5800
2017-07-14,12.48,12.48,11.5,11.57,11.57,5900
2017-07-17,11.5,11.691,11.199,11.293,11.293,3100
2017-07-18,11.719,11.946,11.2,11.834,11.834,3600
2017-07-19,11.237,12.0,11.237,11.75,11.75,4100
2017-07-20,11.75,12.0,11.331,11.55,11.55,7600
2017-07-21,11.274,11.55,11.274,11.35,11.35,3100
2017-07-24,11.472,11.472,11.0,11.11,11.11,2800
2017-07-25,11.258,11.37,11.24,11.24,11.24,1300
2017-07-26,11.78,11.78,10.24,10.809,10.809,12600
2017-07-27,10.738,10.923,9.746,9.99,9.99,10600
2017-07-28,10.3,10.4,9.83,9.83,9.83,2500
2017-07-31,9.83,9.923,8.2,8.2,8.2,21000
2017-08-01,7.5,8.0,5.5,5.91,5.91,79300
2017-08-02,6.2,6.2,5.56,5.6,5.6,20400
2017-08-03,5.51,5.51,4.5,4.76,4.76,46500
2017-08-04,4.51,4.76,4.51,4.738,4.738,4600
2017-08-07,19.709999,19.709999,19.709999,19.709999,19.709999,0
2017-08-08,19.82,19.82,19.82,19.82,19.82,0
2017-08-09,4.4,5.2,4.4,5.17,5.17,16800
2017-08-10,5.77,5.77,4.5,4.7,4.7,13800
2017-08-11,4.89,4.89,4.14,4.36,4.36,15900
2017-08-14,4.14,4.35,4.14,4.22,4.22,12500
2017-08-15,4.22,4.25,3.35,3.76,3.76,19400
2017-08-16,3.51,4.181,3.417,3.99,3.99,9400
2017-08-17,4.0,5.76,4.0,5.02,5.02,32200
2017-08-18,5.33,5.462,4.41,4.83,4.83,8600
2017-08-21,5.24,5.6,4.48,5.29,5.29,20200
2017-08-22,19.67,19.67,19.67,19.67,19.67,0
2017-08-23,2.45,2.45,2.31,2.38,2.38,565000
2017-08-24,2.38,2.4,2.3,2.37,2.37,148800
2017-08-25,2.35,2.39,2.33,2.37,2.37,56600
2017-08-28,2.36,2.37,2.2,2.3,2.3,84900
2017-08-29,2.3,2.36,2.2,2.32,2.32,248800
2017-08-30,2.36,2.36,2.25,2.32,2.32,92000
2017-08-31,2.325,2.41,2.25,2.28,2.28,265300
2017-09-01,2.282,2.359,2.2,2.21,2.21,65500
2017-09-05,2.28,2.29,2.15,2.24,2.24,33700
2017-09-06,2.28,2.32,2.15,2.23,2.23,48400
2017-09-07,2.2,2.29,2.1,2.27,2.27,33800
2017-09-08,2.3,2.3,2.2,2.26,2.26,35100
2017-09-11,2.33,2.33,2.16,2.23,2.23,26000
2017-09-12,2.2,2.36,2.16,2.36,2.36,59500
2017-09-13,2.3,2.36,2.221,2.32,2.32,48400
2017-09-14,2.23,2.36,2.2,2.2,2.2,32200
2017-09-15,2.2,2.31,2.03,2.03,2.03,71000
2017-09-18,2.08,2.24,2.08,2.08,2.08,24100
2017-09-19,2.07,2.088,1.82,1.91,1.91,44700
2017-09-20,1.82,1.962,1.82,1.86,1.86,9500
2017-09-21,1.986,1.986,1.81,1.84,1.84,15200
2017-09-22,1.87,1.91,1.801,1.91,1.91,23800
2017-09-25,1.98,2.04,1.86,1.89,1.89,24000
2017-09-26,1.79,1.905,1.79,1.87,1.87,23500
2017-09-27,1.83,1.886,1.78,1.8,1.8,24100
2017-09-28,1.91,2.33,1.82,2.301,2.301,502800
2017-09-29,2.33,2.33,2.1,2.16,2.16,96908
